"chrom","start","end"
"chr3",64,117808
"chr3",118836,228346
"chr3",229358,362154
"chr3",363171,484782
"chr3",485805,609215
"chr3",610235,829829
"chr3",830960,972796
"chr3",973812,1089993
"chr3",1091027,1205998
"chr3",1207009,1339474
"chr3",1340896,1463218
"chr3",1464299,1571106
"chr3",1572117,1695636
"chr3",1696657,1803719
"chr3",1804730,1917800
"chr3",1918862,2023500
"chr3",2024502,2123743
"chr3",2124746,2224183
"chr3",2225184,2325606
"chr3",2326620,2456776
"chr3",2457848,2568968
"chr3",2570046,2673974
"chr3",2675008,2791471
"chr3",2792476,2924966
"chr3",2926398,3057953
"chr3",3058971,3200757
"chr3",3201855,3337199
"chr3",3338218,3454021
"chr3",3456076,3582729
"chr3",3583799,3713359
"chr3",3715194,3857808
"chr3",3858814,3970229
"chr3",3971248,4081210
"chr3",4082217,4212119
"chr3",4213122,4357498
"chr3",4358763,4483619
"chr3",4484634,4619072
"chr3",4620075,4774131
"chr3",4775133,4897037
"chr3",4898098,5027839
"chr3",5028844,5143148
"chr3",5144163,5276280
"chr3",5284287,5415770
"chr3",5416786,5553313
"chr3",5554318,5670766
"chr3",5680364,5795758
"chr3",5796763,5928839
"chr3",5929864,6056587
"chr3",6057677,6207655
"chr3",6208660,6325095
"chr3",6326123,6456611
"chr3",6471378,6600400
"chr3",6601443,6729491
"chr3",6730506,6876306
"chr3",6877318,7028499
"chr3",7029505,7180375
"chr3",7182408,7333001
"chr3",7334098,7496260
"chr3",7497260,7619651
"chr3",7620661,7751635
"chr3",7752649,7869956
"chr3",7878730,7988196
"chr3",7989228,8113600
"chr3",8114755,8291309
"chr3",8292312,8412691
"chr3",8413716,8563394
"chr3",8564542,8716616
"chr3",8717649,8881694
"chr3",8882715,9068020
"chr3",9069072,9230927
"chr3",9231939,9351740
"chr3",9352759,9487499
"chr3",9488542,9639395
"chr3",9640397,9775611
"chr3",9776625,9910149
"chr3",9911433,10075715
"chr3",10076718,10261443
"chr3",10262549,10424035
"chr3",10425048,10583305
"chr3",10584392,10722711
"chr3",10723758,10854067
"chr3",10855284,10967109
"chr3",10968151,11103966
"chr3",11105028,11243127
"chr3",11244175,11369782
"chr3",11370864,11513179
"chr3",11514211,11684447
"chr3",11685611,11818118
"chr3",11819154,11957331
"chr3",11964678,12136864
"chr3",12140632,12312355
"chr3",12313369,12457442
"chr3",12459139,12602104
"chr3",12603104,12738770
"chr3",12739805,12895503
"chr3",12896553,13017491
"chr3",13018549,13178274
"chr3",13179283,13300573
"chr3",13301632,13442161
"chr3",13446697,13586832
"chr3",13587854,13695159
"chr3",13696165,13834371
"chr3",13835375,13961643
"chr3",13963596,14098916
"chr3",14099951,14224621
"chr3",14225649,14449890
"chr3",14451840,14609412
"chr3",14620227,14859771
"chr3",14860777,14994009
"chr3",14995033,15116650
"chr3",15117674,15247238
"chr3",15248262,15380765
"chr3",15381827,15492578
"chr3",15493886,15623273
"chr3",15630017,15762639
"chr3",15763647,15871092
"chr3",15872110,16004423
"chr3",16005492,16147314
"chr3",16148318,16375348
"chr3",16378230,16484826
"chr3",16485827,16625404
"chr3",16626407,16763210
"chr3",16764247,16895109
"chr3",16896137,17043681
"chr3",17044682,17179454
"chr3",17181044,17322667
"chr3",17323800,17514318
"chr3",17515397,17674105
"chr3",17675110,17784014
"chr3",17785061,18029972
"chr3",18030976,18139092
"chr3",18140113,18298289
"chr3",18299292,18461737
"chr3",18462738,18615835
"chr3",18616851,18760320
"chr3",18761648,18932412
