"chrom","start","end"
"chr9",51,118780
"chr9",119800,252630
"chr9",253675,356065
"chr9",357088,495922
"chr9",497036,615388
"chr9",616499,749616
"chr9",750703,896717
"chr9",897829,1001994
"chr9",1003001,1107411
"chr9",1108884,1218057
"chr9",1219139,1324753
"chr9",1325775,1434103
"chr9",1435165,1551139
"chr9",1552157,1672302
"chr9",1673318,1784693
"chr9",1785719,1893701
"chr9",1894845,2006425
"chr9",2007430,2140353
"chr9",2141353,2275908
"chr9",2276960,2391155
"chr9",2392157,2511723
"chr9",2513225,2650572
"chr9",2651581,2769523
"chr9",2770552,2886471
"chr9",2887474,3003718
"chr9",3004767,3128116
"chr9",3129118,3255102
"chr9",3256208,3360310
"chr9",3362067,3482023
"chr9",3483035,3594097
"chr9",3595309,3710404
"chr9",3711404,3873242
"chr9",3874322,3995185
"chr9",3996192,4110282
"chr9",4111391,4231989
"chr9",4233179,4355581
"chr9",4356616,4497286
"chr9",4498294,4639868
"chr9",4641023,4756702
"chr9",4757703,4867785
"chr9",4868828,5025327
"chr9",5027491,5164093
"chr9",5168027,5281908
"chr9",5283209,5400812
"chr9",5401839,5564577
"chr9",5565735,5705354
"chr9",5706544,5841179
"chr9",5842212,5962759
"chr9",5963762,6093932
"chr9",6094932,6221379
"chr9",6222380,6353933
"chr9",6354954,6476503
"chr9",6477514,6606209
"chr9",6607267,6728066
"chr9",6730995,6849988
"chr9",6851181,6974960
"chr9",6976217,7176514
"chr9",7177624,7293330
"chr9",7294354,7425930
"chr9",7427459,7709094
"chr9",7710229,7856259
"chr9",7857267,7986453
"chr9",7987796,8121398
"chr9",8122452,8280025
"chr9",8281086,8439329
"chr9",8440339,8581300
"chr9",8582403,8723137
"chr9",8724186,8916829
"chr9",8917892,9034376
"chr9",9035416,9147848
"chr9",9148904,9286721
"chr9",9287728,9509396
"chr9",9510411,9642420
"chr9",9643453,9783938
"chr9",9795230,9927093
"chr9",9928105,10115822
"chr9",10116827,10287323
"chr9",10288347,10414483
"chr9",10415483,10564438
"chr9",10565622,10796056
"chr9",10797078,10949943
"chr9",10951068,11087702
"chr9",11089427,11241880
"chr9",11242924,11382096
"chr9",11383277,11502656
"chr9",11503679,11624155
"chr9",11625210,11743538
"chr9",11744550,11909603
"chr9",11910642,12059515
"chr9",12060601,12218818
"chr9",12219940,12353845
"chr9",12354900,12486406
"chr9",12487509,12635002
"chr9",12637584,12766577
"chr9",12767596,12896766
"chr9",12897769,13088095
"chr9",13090548,13245990
"chr9",13247004,13380332
"chr9",13381369,13509211
"chr9",13510283,13672909
"chr9",13673943,13895494
"chr9",13896515,14028439
"chr9",14031007,14180534
"chr9",14181542,14290748
"chr9",14291753,14436769
"chr9",14440048,14555825
"chr9",14556829,14670866
"chr9",14671987,14800829
"chr9",14801912,14922816
"chr9",14923818,15058126
"chr9",15059180,15227344
"chr9",15228369,15377173
"chr9",15378283,15519182
"chr9",15521967,15691635
"chr9",15692641,15855242
"chr9",15856260,15988345
"chr9",15994129,16120397
"chr9",16122468,16268729
"chr9",16269752,16380884
"chr9",16382031,16522061
"chr9",16523312,16654130
"chr9",16656069,16800594
"chr9",16801660,16938527
"chr9",16939612,17076911
"chr9",17077912,17211026
"chr9",17212254,17336649
"chr9",17337708,17583527
"chr9",17584539,17729459
"chr9",17730486,17896236
"chr9",17897259,18049899
"chr9",18050923,18189317
"chr9",18190329,18343981
"chr9",18345082,18535224
"chr9",18536238,18671992
"chr9",18674099,18801934
"chr9",18802945,18923576
"chr9",18924902,19064131
"chr9",19065713,19267418
"chr9",19268967,19459488
"chr9",19460575,19565954
"chr9",19567035,19713254
"chr9",19714289,19881919
"chr9",19884923,20069526
"chr9",20070662,20273973
"chr9",20285271,20446954
"chr9",20448014,20697029
"chr9",20698049,20927546
"chr9",20928833,21044788
"chr9",21045794,21195557
"chr9",21196616,21344094
"chr9",21345214,21526820
"chr9",21527829,21845102
"chr9",21846112,22076719
"chr9",22077768,22223941
"chr9",22225112,22454767
"chr9",22455887,22608309
"chr9",22609548,22744632
"chr9",22749108,22854670
"chr9",22858852,22996736
"chr9",22997758,23130300
"chr9",23131317,23241365
"chr9",23242799,23528553
"chr9",23529559,23738828
"chr9",23739845,23957070
