"chrom","start","end"
"chr8",49,207173
"chr8",208197,363831
"chr8",364863,548726
"chr8",549854,673022
"chr8",674503,846348
"chr8",847364,982987
"chr8",984955,1127858
"chr8",1130428,1275449
"chr8",1276466,1548681
"chr8",1552202,1746950
"chr8",1748038,1901302
"chr8",1902322,2102550
"chr8",2103923,2234422
"chr8",2235444,2395158
"chr8",2396276,2567645
"chr8",2568645,2777269
"chr8",2778285,2950534
"chr8",2951625,3069196
"chr8",3070212,3183078
"chr8",3184166,3405162
"chr8",3406172,3561857
"chr8",3563034,3682678
"chr8",3683705,3848560
"chr8",3849617,4045162
"chr8",4046255,4301985
"chr8",4303184,4550461
"chr8",4555385,4728577
"chr8",4729686,4919751
"chr8",4920833,5028249
"chr8",5029727,5147065
"chr8",5148071,5269096
"chr8",5270216,5384462
"chr8",5385594,5655164
"chr8",5656238,5815554
"chr8",5816588,5965861
"chr8",5966871,6128307
"chr8",6129347,6237432
"chr8",6239313,6398884
"chr8",6400044,6575572
"chr8",6581099,6833814
"chr8",6834816,7179455
"chr8",7182906,7368921
"chr8",7372231,7480069
"chr8",7481134,7590507
"chr8",7591514,7707092
"chr8",7708171,7831194
"chr8",7832230,7988447
"chr8",7990721,8132544
"chr8",8134483,8329667
"chr8",8330675,8483551
"chr8",8484579,8627665
"chr8",8628739,8751481
"chr8",8752555,8868500
"chr8",8869544,8979786
"chr8",8981115,9172691
"chr8",9173760,9380019
"chr8",9381086,9544782
"chr8",9545785,9787554
"chr8",9788638,9910354
"chr8",9911417,10023293
"chr8",10024362,10162014
"chr8",10163440,10287228
"chr8",10288231,10443772
"chr8",10445052,10671194
"chr8",10672561,10877509
"chr8",10878576,11037557
"chr8",11038604,11211438
"chr8",11214139,11333892
"chr8",11339517,11558749
"chr8",11560060,11745061
"chr8",11750944,11903759
"chr8",11904782,12129388
"chr8",12130920,12255435
"chr8",12256443,12446262
"chr8",12447380,12589537
"chr8",12590545,12823823
"chr8",12825667,13095851
"chr8",13096852,13205726
"chr8",13206734,13347350
"chr8",13348471,13554534
"chr8",13555591,13682844
"chr8",13684262,13803364
"chr8",13804400,13979312
"chr8",13980386,14153742
"chr8",14154771,14371444
"chr8",14376051,14730537
"chr8",14731571,15101521
"chr8",15102691,15266468
"chr8",15267488,15544430
"chr8",15545513,15660813
"chr8",15661841,15916667
"chr8",15917963,16049382
"chr8",16062724,16229251
"chr8",16230423,16343940
"chr8",16349794,16660312
"chr8",16661326,16820015
"chr8",16821059,17065848
"chr8",17068929,17196657
"chr8",17197772,17317287
"chr8",17319230,17441655
"chr8",17442912,17558763
"chr8",17559772,17716587
"chr8",17719120,17850681
"chr8",17852291,17994327
"chr8",17995525,18148300
"chr8",18149326,18318916
"chr8",18319976,18540791
"chr8",18541791,18665238
"chr8",18666268,18778778
"chr8",18779835,18946496
"chr8",18947510,19140125
"chr8",19141209,19288310
"chr8",19289433,19423821
"chr8",19424829,19574373
"chr8",19575545,19702029
"chr8",19703050,19829422
"chr8",19830424,19952076
"chr8",19953115,20072644
"chr8",20073733,20234394
"chr8",20235642,20366117
"chr8",20367171,20476772
"chr8",20477782,20600536
"chr8",20601634,20733110
"chr8",20734121,20844976
"chr8",20845989,20950172
"chr8",20951213,21086159
"chr8",21087310,21240246
"chr8",21241288,21384835
"chr8",21385891,21532143
"chr8",21533175,21654405
"chr8",21655424,21815733
"chr8",21816842,22001030
"chr8",22002049,22165341
"chr8",22166370,22345113
"chr8",22346126,22485220
"chr8",22486225,22615233
"chr8",22616236,22781198
"chr8",22782210,22894795
"chr8",22896030,23023827
"chr8",23024880,23157336
"chr8",23158372,23350260
"chr8",23351324,23499451
"chr8",23500464,23637454
"chr8",23638455,23771238
"chr8",23772245,23960736
"chr8",23961961,24081101
"chr8",24082181,24264258
"chr8",24268278,24408413
"chr8",24409483,24542065
"chr8",24543093,24677087
"chr8",24678142,24815409
"chr8",24816411,24979920
"chr8",24980931,25112923
"chr8",25113952,25272541
"chr8",25273755,25419307
"chr8",25420380,25564814
"chr8",25565848,25726292
"chr8",25727299,25897608
"chr8",25898672,26134929
"chr8",26136557,26250131
"chr8",26251155,26391005
"chr8",26392430,26544305
"chr8",26545339,26679411
"chr8",26680424,26813473
"chr8",26814486,26939190
"chr8",26940239,27124098
"chr8",27125101,27302892
"chr8",27303918,27480038
"chr8",27481121,27607419
"chr8",27609649,27777710
"chr8",27778741,27933616
"chr8",27934680,28043671
"chr8",28044879,28185172
"chr8",28186194,28318868
"chr8",28319870,28463033
"chr8",28464142,28699059
"chr8",28700089,28888562
"chr8",28889578,29032077
"chr8",29033214,29152805
"chr8",29153830,29278041
"chr8",29279071,29407386
"chr8",29408388,29558026
"chr8",29559055,29705467
"chr8",29706481,29846833
"chr8",29848574,29954465
"chr8",29955497,30119237
"chr8",30120459,30244696
"chr8",30245700,30426543
"chr8",30427693,30533933
"chr8",30534951,30695616
"chr8",30696746,30867103
"chr8",30869445,31011107
"chr8",31012679,31175935
"chr8",31177003,31296951
"chr8",31298033,31401535
"chr8",31402618,31516869
"chr8",31517896,31665457
"chr8",31667035,31792675
"chr8",31793678,31910342
"chr8",31911469,32027655
"chr8",32028734,32169026
"chr8",32170026,32304482
"chr8",32307786,32493527
"chr8",32494529,32620027
"chr8",32621050,32796219
"chr8",32797219,32907742
"chr8",32908835,33033924
"chr8",33034933,33222118
"chr8",33223147,33342109
"chr8",33343127,33488218
"chr8",33489251,33622239
"chr8",33623256,33746512
"chr8",33747531,33878538
"chr8",33879780,34037104
"chr8",34038135,34178779
"chr8",34179797,34310022
"chr8",34311040,34450534
"chr8",34451554,34587864
"chr8",34588874,34719340
"chr8",34720388,34825283
"chr8",34826312,34988838
"chr8",34989850,35148531
"chr8",35149603,35315353
"chr8",35316447,35449474
"chr8",35450579,35561107
"chr8",35562124,35690782
"chr8",35692032,35810616
"chr8",35811631,35921268
"chr8",35922316,36044522
"chr8",36045553,36161201
"chr8",36162218,36308790
"chr8",36309793,36473807
"chr8",36474882,36593667
"chr8",36594684,36776120
"chr8",36777137,36953791
"chr8",36954859,37061829
"chr8",37062829,37215553
"chr8",37216564,37351149
"chr8",37352195,37462090
"chr8",37463107,37569213
"chr8",37570224,37730224
"chr8",37731231,37844522
"chr8",37845552,37967336
"chr8",37968342,38103579
"chr8",38104619,38247242
"chr8",38248314,38389484
"chr8",38391377,38535966
"chr8",38537097,38682970
"chr8",38684980,38838683
"chr8",38839695,38973748
"chr8",38974792,39136663
"chr8",39137672,39254887
"chr8",39255950,39380342
"chr8",39381412,39526792
"chr8",39527818,39655184
"chr8",39656190,39824410
"chr8",39825439,39935780
"chr8",39936851,40047806
"chr8",40048923,40187688
"chr8",40188703,40296667
"chr8",40297728,40445274
"chr8",40446343,40572036
"chr8",40573036,40695534
"chr8",40696536,40829533
"chr8",40830643,40937369
"chr8",40938374,41042768
"chr8",41043769,41150120
"chr8",41151176,41266547
"chr8",41267561,41380137
"chr8",41393727,41538265
"chr8",41539273,41674292
"chr8",41675361,41798772
"chr8",41799785,41943104
"chr8",41944108,42051803
"chr8",42052841,42160657
"chr8",42161732,42334437
"chr8",42335468,42444546
"chr8",42454278,42649425
"chr8",42650438,42772769
"chr8",42773801,42934424
"chr8",42935868,43066701
"chr8",43067710,43195553
"chr8",43196573,43317070
"chr8",43318125,43452598
"chr8",43453624,43587695
"chr8",43615717,43753084
"chr8",43754084,43872555
"chr8",43873583,43995164
"chr8",43999624,44121673
"chr8",44122683,44277754
"chr8",44278789,44410793
"chr8",44411995,44530663
"chr8",44531685,44642046
"chr8",44643804,44759362
"chr8",44760372,44886192
"chr8",44887196,45033475
"chr8",45034487,45149300
"chr8",45150313,45279029
"chr8",45280038,45400352
"chr8",45401378,45549133
"chr8",45550153,45670925
"chr8",45671992,45810948
"chr8",45815130,45960435
"chr8",45961463,46072429
"chr8",46073445,46192222
"chr8",46193226,46305101
"chr8",46306110,46445837
"chr8",46446855,46559175
"chr8",46560194,46677043
"chr8",46678097,46798199
"chr8",46799200,46920213
"chr8",46921259,47030818
"chr8",47031828,47165294
"chr8",47167956,47291998
"chr8",47293053,47422208
"chr8",47423472,47537159
"chr8",47538161,47670110
"chr8",47671123,47793949
"chr8",47794955,47905328
"chr8",47906348,48044884
"chr8",48045913,48173920
"chr8",48175200,48282650
"chr8",48283670,48396901
"chr8",48397947,48506625
"chr8",48507740,48644549
"chr8",48645551,48795590
"chr8",48796720,48921547
"chr8",48922563,49064123
"chr8",49065135,49173829
"chr8",49174892,49279162
"chr8",49280242,49403115
"chr8",49404140,49528943
"chr8",49529947,49640483
"chr8",49641576,49773195
"chr8",49774205,49901629
"chr8",49902657,50022614
"chr8",50024034,50136190
"chr8",50137235,50248228
"chr8",50249244,50359109
"chr8",50360408,50476304
"chr8",50477326,50612414
"chr8",50613462,50741431
"chr8",50742439,50875952
"chr8",50876956,50987077
"chr8",50989424,51105914
"chr8",51106967,51229216
"chr8",51230260,51344686
"chr8",51345707,51462019
"chr8",51463033,51585796
"chr8",51586799,51716595
"chr8",51717618,51853297
"chr8",51854297,51962922
"chr8",51964017,52092660
"chr8",52093676,52234816
"chr8",52235855,52348500
"chr8",52349807,52462585
"chr8",52463594,52577260
"chr8",52583289,52711804
"chr8",52712844,52820962
"chr8",52821972,52941030
"chr8",52942038,53058933
"chr8",53059994,53165047
"chr8",53166079,53274262
"chr8",53275424,53382888
"chr8",53384262,53511581
"chr8",53512749,53641100
"chr8",53642100,53747497
"chr8",53748514,53874484
"chr8",53875887,53997695
"chr8",53998705,54114396
"chr8",54115401,54235747
"chr8",54236760,54358183
"chr8",54359224,54480545
"chr8",54481547,54591395
"chr8",54592401,54701031
"chr8",54702072,54847653
"chr8",54848712,54971141
"chr8",54972200,55083969
"chr8",55084984,55219932
"chr8",55220933,55352299
"chr8",55353370,55479314
"chr8",55480438,55604796
