"chrom","start","end"
"chr6",33,99478
"chr6",100486,199623
"chr6",200624,300489
"chr6",301519,432823
"chr6",433936,540327
"chr6",541340,651469
"chr6",652479,766662
"chr6",767671,882598
"chr6",883600,1084083
"chr6",1085099,1262609
"chr6",1263624,1384009
"chr6",1385032,1501516
"chr6",1502541,1651130
"chr6",1652140,1765096
"chr6",1766143,1869321
"chr6",1870328,1978881
"chr6",1979952,2114304
"chr6",2115322,2220760
"chr6",2221770,2363845
"chr6",2364928,2485539
"chr6",2486571,2608560
"chr6",2609672,2746235
"chr6",2749238,2920091
"chr6",2921136,3164515
"chr6",3181727,3511737
"chr6",3512751,3649423
"chr6",3650429,3770583
"chr6",3771610,3895229
"chr6",3896565,4013219
"chr6",4014220,4153738
"chr6",4164834,4308125
"chr6",4309126,4422077
"chr6",4423078,4562353
"chr6",4563353,4683289
"chr6",4684600,4818851
"chr6",4819868,4926396
"chr6",4927396,5044012
"chr6",5045017,5166677
"chr6",5167701,5276882
"chr6",5277886,5437562
"chr6",5438562,5568217
"chr6",5569223,5690102
"chr6",5691106,5817035
"chr6",5818053,5935754
"chr6",5936937,6065581
"chr6",6066589,6230640
"chr6",6232876,6371328
"chr6",6372369,6528085
"chr6",6531463,6677666
"chr6",6678721,6917896
"chr6",6918982,7034176
"chr6",7035283,7157619
"chr6",7158653,7269241
"chr6",7270263,7392805
"chr6",7394083,7546452
"chr6",7547604,7669255
"chr6",7670314,7805577
"chr6",7806606,7960694
"chr6",7961734,8101156
"chr6",8102272,8229095
"chr6",8230209,8350421
"chr6",8351422,8482168
"chr6",8483168,8640076
"chr6",8641076,8832007
"chr6",8833161,8943591
"chr6",8944647,9080078
"chr6",9081097,9210407
"chr6",9211411,9404998
"chr6",9408533,9560348
"chr6",9561453,9701870
"chr6",9702934,9890459
"chr6",9891467,10009008
"chr6",10010035,10162854
"chr6",10164117,10348490
"chr6",10349501,10509681
"chr6",10510863,10628651
"chr6",10629907,10766953
"chr6",10767956,10903719
"chr6",10904740,11044611
"chr6",11045614,11250082
"chr6",11251136,11364213
"chr6",11365370,11511533
"chr6",11512539,11726186
"chr6",11727201,11925506
"chr6",11926507,12079816
"chr6",12080965,12326674
"chr6",12329486,12479888
"chr6",12480903,12631242
"chr6",12632273,12839375
"chr6",12840470,13000974
"chr6",13002003,13108802
"chr6",13109831,13263262
"chr6",13264262,13423087
"chr6",13425568,13586766
"chr6",13587769,13718539
"chr6",13719706,13886824
"chr6",13887837,14212578
"chr6",14213638,14366336
"chr6",14367353,14545026
"chr6",14546037,14689847
"chr6",14691154,14819420
"chr6",14822041,14937957
"chr6",14939105,15108590
"chr6",15110350,15242353
"chr6",15243384,15389085
"chr6",15390101,15542115
"chr6",15543115,15691136
"chr6",15692162,15889653
"chr6",15890776,16045689
"chr6",16046700,16203511
"chr6",16207658,16353521
"chr6",16354558,16518932
"chr6",16519936,16696848
"chr6",16698008,16887057
"chr6",16888082,17057077
"chr6",17058088,17240549
"chr6",17241566,17384659
"chr6",17385720,17576648
"chr6",17580238,17722084
"chr6",17723338,17857723
"chr6",17867355,18016040
"chr6",18017296,18162405
"chr6",18163417,18293054
"chr6",18294822,18520240
"chr6",18521282,18639788
"chr6",18640812,18769544
"chr6",18770598,18900128
"chr6",18901972,19021677
"chr6",19022770,19181870
"chr6",19182955,19355726
"chr6",19356783,19503711
"chr6",19504717,19638169
"chr6",19639485,19796493
"chr6",19800052,19940906
"chr6",19941921,20051479
"chr6",20052492,20183023
"chr6",20185993,20356030
"chr6",20357037,20584086
"chr6",20585318,20695902
"chr6",20702645,20861219
"chr6",20862223,21088089
"chr6",21089105,21205906
"chr6",21206922,21432332
"chr6",21433423,21572632
"chr6",21573725,21739721
"chr6",21744765,21855762
"chr6",21857092,22030301
"chr6",22031745,22516488
"chr6",22572517,23301615
"chr6",23302616,23518671
"chr6",23519685,23685991
"chr6",23687327,23855646
"chr6",23856932,23999255
"chr6",24000265,24144542
"chr6",24145589,24292156
"chr6",24295192,24461328
"chr6",24462378,24583485
"chr6",24584499,24906136
"chr6",24915735,25132023
"chr6",25133061,25297821
"chr6",25298821,25430803
"chr6",25488337,25667696
"chr6",25668713,25829160
"chr6",25830166,26059259
"chr6",26064096,26276643
"chr6",26277750,26599483
"chr6",26600530,26733789
"chr6",26734794,26923663
"chr6",26924832,27060921
"chr6",27062236,27203134
"chr6",27204683,27393386
"chr6",27395071,27580667
"chr6",27581820,27749522
"chr6",27750536,27888733
"chr6",27889761,28048634
"chr6",28049644,28277356
"chr6",28278370,28447106
"chr6",28448147,28569846
"chr6",28571681,28745260
"chr6",28746293,28880740
"chr6",28881749,28994174
"chr6",28995435,29203701
"chr6",29204739,29400207
"chr6",29401219,29521397
"chr6",29522407,29665539
"chr6",29666609,29835824
"chr6",29840536,29978383
"chr6",29979447,30090696
"chr6",30095358,30257303
"chr6",30258425,30448615
"chr6",30449637,30647797
"chr6",30648871,30822134
"chr6",30828001,30998496
"chr6",30999525,31186275
"chr6",31187547,31340074
"chr6",31341125,31589533
"chr6",31591250,31713758
"chr6",31714933,31877771
"chr6",31878781,32086362
"chr6",32087374,32243103
"chr6",32244131,32405837
"chr6",32407006,32512890
"chr6",32513890,32618048
"chr6",32619071,32744270
"chr6",32745312,32850492
"chr6",32851514,32964454
"chr6",32965544,33075528
"chr6",33076531,33287014
"chr6",33288045,33462130
"chr6",33463850,33606771
"chr6",33607815,33780549
"chr6",33781553,33920049
"chr6",33921129,34102052
"chr6",34103092,34271472
"chr6",34272492,34381138
"chr6",34382282,34555960
"chr6",34557017,34719690
"chr6",34720724,34883491
"chr6",34884512,35024003
"chr6",35025149,35163754
"chr6",35165108,35286695
"chr6",35287748,35429568
"chr6",35430827,35590126
"chr6",35591256,35740809
"chr6",35742265,35915852
"chr6",35917297,36092471
"chr6",36094132,36240003
"chr6",36241321,36383540
